,Winkler Facility,,,Reeves Facility,,,Ward Facility,,
Months,Oil Rates,Gas Rates,Water Rates,Oil Rates,Gas Rates,Water Rates,Oil Rates,Gas Rates,Water Rates
1,34135,132199,58030,38732,101209,69718,12588,25215,16364
2,29101,112574,49471,32986,87631,59374,10721,21823,13937
3,26156,101094,44465,29625,79688,53324,9628,19838,12517
4,24066,92949,40913,27240,74053,49031,8853,18430,11509
5,22446,86631,38158,25390,69682,45702,8252,17338,10728
6,21121,81469,35906,23878,66110,42981,7761,16446,10089
7,20002,77104,34003,22600,63091,40681,7346,15692,9549
8,19032,73324,32354,21493,60475,38688,6986,15038,9082
9,18177,69989,30900,20517,58168,36931,6669,14462,8669
10,17411,67006,29599,19644,56104,35358,6385,13946,8300
11,16719,64307,28422,18853,54237,33936,6128,13480,7966
12,16087,61844,27348,18132,52532,32638,5894,13054,7662
13,15506,59578,26360,17469,50964,31443,5678,12662,7381
14,14968,57479,25445,16854,49513,30338,5478,12299,7122
15,14466,55526,24593,16282,48161,29308,5293,11962,6880
16,13998,53699,23796,15747,46897,28345,5119,11646,6654
17,13557,51982,23048,15245,45709,27440,4955,11349,6442
18,13142,50364,22342,14771,44590,26587,4801,11070,6242
19,12750,48833,21674,14323,43530,25781,4656,10805,6052
20,12377,47381,21041,13897,42526,25015,4517,10554,5873
21,12023,45999,20438,13493,41570,24287,4386,10315,5702
22,11685,44682,19864,13107,40659,23593,4261,10087,5539
23,11362,43424,19315,12739,39788,22930,4141,9870,5383
24,11053,42219,18790,12386,38954,22295,4026,9662,5234
25,10756,41063,18286,12048,38154,21686,3916,9462,5091
26,10471,39953,17801,11722,37386,21100,3811,9270,4954
27,10197,38884,17335,11410,36647,20537,3709,9085,4822
28,9933,37854,16886,11108,35934,19994,3611,8907,4694
29,9678,36861,16453,10817,35247,19471,3517,8735,4571
30,9432,35901,16035,10536,34583,18965,3425,8570,4453
31,9194,34973,15630,10264,33941,18476,3337,8409,4338
32,8963,34074,15238,10001,33319,18002,3251,8254,4227
33,8740,33202,14858,9746,32716,17543,3168,8103,4119
34,8523,32357,14489,9498,32131,17097,3088,7957,4014
35,8313,31536,14131,9258,31563,16665,3010,7815,3913
36,8108,30739,13783,9025,31011,16244,2934,7677,3814
37,7909,29963,13445,8797,30475,15835,2860,7543,3718
38,7715,29208,13116,8576,29952,15438,2788,7413,3625
39,7527,28473,12795,8361,29443,15050,2718,7286,3534
40,7343,27756,12483,8151,28948,14672,2650,7162,3445
41,7163,27057,12178,7946,28464,14304,2584,7041,3359
42,6988,26374,11880,7747,27992,13944,2519,6923,3274
43,6817,25708,11590,7552,27531,13593,2455,6808,3192
44,6650,25057,11306,7361,27081,13250,2393,6695,3111
45,6487,24421,11028,7175,26640,12915,2333,6585,3033
46,6328,23799,10757,6993,26210,12587,2274,6478,2956
47,6171,23190,10491,6814,25788,12266,2216,6372,2880
48,6018,22594,10231,6640,25376,11952,2159,6269,2807
49,5869,22010,9977,6469,24972,11644,2103,6168,2734
50,5722,21438,9727,6301,24576,11342,2049,6070,2664
51,5578,20877,9483,6137,24188,11047,1996,5973,2594
52,5437,20327,9243,5976,23808,10757,1943,5878,2526
53,5299,19788,9008,5818,23435,10473,1892,5784,2460
54,5163,19259,8777,5663,23069,10194,1842,5693,2394
55,5030,18739,8551,5511,22709,9920,1792,5603,2330
56,4899,18229,8328,5362,22356,9651,1744,5515,2267
57,4770,17728,8110,5215,22010,9387,1696,5428,2205
58,4644,17236,7895,5071,21669,9128,1649,5343,2144
59,4520,16752,7684,4929,21334,8873,1603,5260,2084
60,4398,16276,7476,4790,21005,8622,1558,5177,2025
