Months,Oil Rates,Gas Rates,Water Rates
1,34135,132199,58030
2,29101,112574,49471
3,26156,101094,44465
4,24066,92949,40913
5,22446,86631,38158
6,21121,81469,35906
7,20002,77104,34003
8,19032,73324,32354
9,18177,69989,30900
10,17411,67006,29599
11,16719,64307,28422
12,16087,61844,27348
13,15506,59578,26360
14,14968,57479,25445
15,14466,55526,24593
16,13998,53699,23796
17,13557,51982,23048
18,13142,50364,22342
19,12750,48833,21674
20,12377,47381,21041
21,12023,45999,20438
22,11685,44682,19864
23,11362,43424,19315
24,11053,42219,18790
25,10756,41063,18286
26,10471,39953,17801
27,10197,38884,17335
28,9933,37854,16886
29,9678,36861,16453
30,9432,35901,16035
31,9194,34973,15630
32,8963,34074,15238
33,8740,33202,14858
34,8523,32357,14489
35,8313,31536,14131
36,8108,30739,13783
37,7909,29963,13445
38,7715,29208,13116
39,7527,28473,12795
40,7343,27756,12483
41,7163,27057,12178
42,6988,26374,11880
43,6817,25708,11590
44,6650,25057,11306
45,6487,24421,11028
46,6328,23799,10757
47,6171,23190,10491
48,6018,22594,10231
49,5869,22010,9977
50,5722,21438,9727
51,5578,20877,9483
52,5437,20327,9243
53,5299,19788,9008
54,5163,19259,8777
55,5030,18739,8551
56,4899,18229,8328
57,4770,17728,8110
58,4644,17236,7895
59,4520,16752,7684
60,4398,16276,7476
61,4278,15808,7272
62,4160,15347,7071
63,4043,14894,6874
64,3929,14449,6679
65,3816,14010,6488
66,3706,13577,6299
67,3596,13152,6114
68,3489,12732,5931
69,3383,12319,5751
70,3278,11911,5573
71,3175,11510,5398
72,3074,11114,5225
73,2973,10723,5055
74,2875,10338,4887
75,2777,9958,4721
76,2681,9583,4558
77,2586,9213,4396
78,2492,8848,4237
79,2400,8487,4079
80,2308,8131,3924
81,2218,7779,3771
82,2129,7432,3619
83,2041,7088,3470
84,1954,6749,3322
85,1868,6414,3176
86,1783,6083,3031
87,1699,5756,2888
88,1616,5432,2747
89,1534,5112,2608
90,1453,4796,2470
91,1373,4483,2333
92,1293,4174,2199
93,1215,3868,2065
94,1137,3565,1933
95,1060,3265,1802
96,984,2969,1673
97,909,2675,1545
98,834,2385,1418
99,761,2097,1293
100,688,1813,1169
101,615,1531,1046
102,544,1252,924
103,473,976,804
104,403,702,685
105,333,431,567
106,264,163,450
107,,,
108,,,
109,,,
